Date,Open,Close,High,Low,Volume,Amount,Amplitude,PctChg,Change,Turnover
2024-02-02,31.39,30.28,31.79,28.49,461567,1421261647.00,10.49,-3.78,-1.19,3.17
2024-02-05,29.79,29.59,30.90,28.21,409965,1235003369.00,8.88,-2.28,-0.69,2.82
2024-02-06,29.04,31.89,32.32,29.00,439360,1378764219.00,11.22,7.77,2.30,3.02
2024-02-07,31.79,32.14,32.87,31.59,405647,1331512753.00,4.01,0.78,0.25,2.79
2024-02-08,32.69,33.49,33.74,32.67,420773,1421247776.00,3.33,4.20,1.35,2.89
2024-02-19,35.50,36.89,36.89,34.67,865297,3132899342.00,6.63,10.15,3.40,5.95
2024-02-20,36.39,36.07,36.94,35.97,683703,2525059434.00,2.63,-2.22,-0.82,4.70
2024-02-21,35.35,35.61,36.59,35.20,497427,1808460763.00,3.85,-1.28,-0.46,3.42
2024-02-22,37.99,38.63,39.22,37.98,1201171,4722508879.00,3.48,8.48,3.02,8.26
2024-02-23,39.22,38.81,39.36,38.35,901236,3549980867.00,2.61,0.47,0.18,6.20
2024-02-26,38.96,41.18,42.29,38.67,1141289,4723855275.00,9.33,6.11,2.37,7.85
2024-02-27,40.56,45.35,45.35,40.29,895780,3892974722.00,12.29,10.13,4.17,6.16
2024-02-28,49.70,47.05,49.94,47.03,2620772,12920215676.00,6.42,3.75,1.70,18.02
2024-02-29,48.05,49.20,50.85,47.29,2348190,11626740490.00,7.57,4.57,2.15,16.14
2024-03-01,48.44,52.99,53.49,48.20,2145321,11054004731.00,10.75,7.70,3.79,14.75
2024-03-04,54.29,53.41,54.29,51.36,1862161,9977666893.00,5.53,0.79,0.42,12.80
2024-03-05,52.08,52.43,56.29,51.29,1858704,9981615364.00,9.36,-1.83,-0.98,12.78
2024-03-06,51.59,53.99,54.89,51.17,1713587,9172706825.00,7.10,2.98,1.56,11.78
2024-03-07,53.50,51.56,54.14,51.29,1465635,7775009788.00,5.28,-4.50,-2.43,10.08
2024-03-08,52.09,52.64,53.07,51.25,1186345,6260897585.00,3.53,2.09,1.08,8.16
2024-03-11,51.29,54.61,54.61,51.09,1426591,7670789385.00,6.69,3.74,1.97,9.81
2024-03-12,54.39,52.69,54.46,52.19,1183153,6339941567.00,4.16,-3.52,-1.92,8.13
2024-03-13,53.51,51.11,53.73,51.05,1224540,6437116582.00,5.09,-3.00,-1.58,8.42
